V_G,V_D,I_D1,I_D2,I_D3,I_D4,I_D5,I_D6,I_D7,I_D8,I_D9,I_D10,I_D11
,16.3,0.5,1.9,5.4,11.8,22,36.1,50,50,50,50,50
,16.4,0.5,2,5.4,11.8,22.1,36.2,50,50,50,50,50
,16.5,0.5,2,5.4,11.9,22.1,36.2,50,50,50,50,50
,16.6,0.4,2,5.4,11.9,22.2,36.4,50,50,50,50,50
,16.7,0.4,2,5.5,11.9,22.2,36.5,50,50,50,50,50
,16.8,0.4,1.9,5.4,11.9,22.3,36.6,50,50,50,50,50
,16.9,0.5,2,5.4,11.8,22.3,36.6,50,50,50,50,50
,17,0.5,2,5.4,11.9,22.4,36.7,50,50,50,50,50
,17.1,0.5,2,5.5,11.9,22.3,36.8,50,50,50,50,50
,17.2,0.5,2,5.4,12,22.4,36.9,50,50,50,50,50
,17.3,0.5,2,5.5,11.9,22.4,37,50,50,50,50,50
,17.4,0.4,2,5.5,11.9,22.5,37.1,50,50,50,50,50
,17.5,0.4,1.9,5.5,12,22.5,37.2,50,50,50,50,50
,17.6,0.5,1.9,5.4,12,22.6,37.2,50,50,50,50,50
,17.7,0.5,2,5.5,12,22.6,37.4,50,50,50,50,50
,17.8,0.5,2,5.5,12,22.6,37.4,50,50,50,50,50
,17.9,0.5,2,5.5,12,22.7,37.5,50,50,50,50,50
,18,0.4,2,5.5,12,22.8,37.6,50,50,50,50,50
,18.1,0.4,2,5.5,12.1,22.8,37.7,50,50,50,50,50
,18.2,0.5,2,5.5,12.1,22.8,37.8,50,50,50,50,50
,18.3,0.5,2,5.5,12.1,22.9,37.9,50,50,50,50,50
,18.4,0.5,2,5.5,12.1,22.9,38,50,50,50,50,50
,18.5,0.4,2,5.5,12.1,22.9,38.1,50,50,50,50,50
,18.6,0.4,2,5.5,12.2,23,38.2,50,50,50,50,50
,18.7,0.4,2,5.5,12.1,23,38.3,50,50,50,50,50
,18.8,0.5,2,5.5,12.2,23.1,38.4,50,50,50,50,50
,18.9,0.5,2,5.5,12.2,23.1,38.5,50,50,50,50,50
,19,0.4,2,5.5,12.2,23.2,38.5,50,50,50,50,50
,19.1,0.5,2,5.6,12.2,23.2,38.7,50,50,50,50,50
,19.2,0.5,2,5.5,12.2,23.2,38.7,50,50,50,50,50
,19.3,0.5,2,5.6,12.3,23.3,38.8,50,50,50,50,50
,19.4,0.5,2,5.5,12.3,23.3,38.9,50,50,50,50,50
,19.5,0.4,2,5.6,12.3,23.4,39,50,50,50,50,50
,19.6,0.5,2,5.6,12.3,23.4,39.1,50,50,50,50,50
,19.7,0.5,2,5.6,12.3,23.4,39.2,50,50,50,50,50
,19.8,0.5,2,5.6,12.4,23.5,39.3,50,50,50,50,50
,19.9,0.5,2,5.5,12.4,23.5,39.4,50,50,50,50,50
,20,0.4,2,5.6,12.4,23.6,39.5,50,50,50,50,50
